variant,model,seed,same_target_as_baseline,churn_vs_baseline,d_common_acc,d_common_auc,d_common_ece,d_common_pred_pos_rate,d_common_sex_tpr_gap
multi_site_drop_any,hgb,4,True,0.13333333333333333,0.0,0.007440476190476386,0.012119300157161922,-0.022222222222222254,0.23124999999999996
multi_site_drop_any,hgb,5,True,0.1111111111111111,-0.06666666666666665,-0.0357142857142857,0.008233584066677943,0.04444444444444445,0.09999999999999998
multi_site_drop_any,hgb,6,True,0.044444444444444446,-0.022222222222222254,0.016865079365079416,0.031933588349100706,0.0,-0.16249999999999998
multi_site_drop_any,hgb,7,True,0.05555555555555555,-0.011111111111111183,-0.0024801587301587213,-0.01947180504434183,-0.011111111111111127,-0.03125
multi_site_drop_any,hgb,8,True,0.13333333333333333,-0.022222222222222254,-0.03224206349206338,0.015029234743100209,0.06666666666666671,-0.33124999999999993
multi_site_drop_any,hgb,9,True,0.07777777777777778,0.011111111111111072,0.025793650793650813,0.027184280528175786,-0.03333333333333338,-0.03125
cleveland_impute_severe,logreg,0,False,0.18888888888888888,,,,-0.18888888888888894,
cleveland_impute_severe,logreg,1,False,0.2,,,,-0.2,
cleveland_impute_severe,logreg,2,False,0.16666666666666666,,,,-0.16666666666666669,
cleveland_impute_severe,logreg,3,False,0.12222222222222222,,,,-0.12222222222222223,
cleveland_impute_severe,logreg,4,False,0.2,,,,-0.17777777777777776,
cleveland_impute_severe,logreg,5,False,0.2222222222222222,,,,-0.2222222222222222,
cleveland_impute_severe,logreg,6,False,0.18888888888888888,,,,-0.18888888888888888,
cleveland_impute_severe,logreg,7,False,0.2,,,,-0.15555555555555556,
cleveland_impute_severe,logreg,8,False,0.2222222222222222,,,,-0.22222222222222227,
cleveland_impute_severe,logreg,9,False,0.18888888888888888,,,,-0.18888888888888894,
cleveland_impute_severe,rf,0,False,0.17777777777777778,,,,-0.17777777777777776,
cleveland_impute_severe,rf,1,False,0.2111111111111111,,,,-0.2111111111111111,
cleveland_impute_severe,rf,2,False,0.17777777777777778,,,,-0.17777777777777776,
cleveland_impute_severe,rf,3,False,0.14444444444444443,,,,-0.1444444444444445,
cleveland_impute_severe,rf,4,False,0.2,,,,-0.2,
cleveland_impute_severe,rf,5,False,0.18888888888888888,,,,-0.18888888888888888,
cleveland_impute_severe,rf,6,False,0.2,,,,-0.19999999999999998,
cleveland_impute_severe,rf,7,False,0.2111111111111111,,,,-0.21111111111111114,
cleveland_impute_severe,rf,8,False,0.17777777777777778,,,,-0.1777777777777778,
cleveland_impute_severe,rf,9,False,0.2,,,,-0.19999999999999998,
cleveland_impute_severe,hgb,0,False,0.2,,,,-0.2,
cleveland_impute_severe,hgb,1,False,0.18888888888888888,,,,-0.18888888888888888,
cleveland_impute_severe,hgb,2,False,0.2222222222222222,,,,-0.2222222222222222,
cleveland_impute_severe,hgb,3,False,0.18888888888888888,,,,-0.1444444444444445,
cleveland_impute_severe,hgb,4,False,0.23333333333333334,,,,-0.23333333333333334,
cleveland_impute_severe,hgb,5,False,0.17777777777777778,,,,-0.1777777777777778,
cleveland_impute_severe,hgb,6,False,0.3,,,,-0.30000000000000004,
cleveland_impute_severe,hgb,7,False,0.2111111111111111,,,,-0.18888888888888888,
cleveland_impute_severe,hgb,8,False,0.15555555555555556,,,,-0.15555555555555556,
cleveland_impute_severe,hgb,9,False,0.17777777777777778,,,,-0.1777777777777778,
