variant,outcome,mean,sd,min,max,n,cohen_d,wilcoxon_p,model
V4_dedup,d_common_acc,-0.0009500000000000064,0.0005419870847169871,-0.0017500000000000293,-0.00024999999999997247,5,,,rf
V4_dedup,d_common_acc,-0.0007500000000000062,0.003225871975141,-0.005750000000000033,0.0030000000000000027,5,,,hgb
V4_dedup,d_common_auc,-8.48990505630809e-07,0.0007178917816472306,-0.000753702492278796,0.002249042874914231,15,-0.0011826162763456732,0.5994873046875,
V4_dedup,d_common_auc,7.245463709677491e-05,0.0002070158967039946,-0.00023961639927927436,0.000259053813486676,5,,,logreg
V4_dedup,d_common_auc,-0.00031887413134870093,0.00045493768174866857,-0.000753702492278796,0.0002655888061943168,5,,,rf
V4_dedup,d_common_auc,0.00024387252273503358,0.0011601567656772944,-0.0005978680507894296,0.002249042874914231,5,,,hgb
V4_dedup,d_common_ece,-2.000918663385212e-06,0.0021344560515530733,-0.0030404480797763603,0.0037671499268339785,15,-0.0009374372744424995,0.803955078125,
V4_dedup,d_common_ece,-0.001305370199099727,0.001057896523864372,-0.0025222599264198026,0.00010273516485173606,5,,,logreg
V4_dedup,d_common_ece,0.0018718162026263995,0.0021813180714226315,-0.000894794053744867,0.0037671499268339785,5,,,rf
V4_dedup,d_common_ece,-0.0005724487595168279,0.0017745843489880397,-0.0030404480797763603,0.0017159152437006883,5,,,hgb
V4_dedup,d_sex_dp_diff,-0.0016232292952448157,0.004176268518975364,-0.010121671662846082,0.005290072297654713,15,-0.38867934086840533,0.207763671875,
V4_dedup,d_sex_dp_diff,-0.0003724210897548985,0.0027021605524154657,-0.004140363251631113,0.002637982719097154,5,,,logreg
V4_dedup,d_sex_dp_diff,-0.0012738494092752572,0.0036657095719724235,-0.0063833539058367195,0.0033856462704990598,5,,,rf
V4_dedup,d_sex_dp_diff,-0.0032234173867042915,0.00591575697035922,-0.010121671662846082,0.005290072297654713,5,,,hgb
V4_dedup,d_sex_tpr_gap,-0.0054585544527026245,0.013288005194505697,-0.02584627122916261,0.019633356268435986,15,-0.4107881034663968,0.1353759765625,
V4_dedup,d_sex_tpr_gap,0.0017167265023059653,0.010676317276821055,-0.01228276937959416,0.01292313561458125,5,,,logreg
V4_dedup,d_sex_tpr_gap,-0.009105462868977,0.010776332406075298,-0.0239728593714873,0.004291816255764913,5,,,rf
V4_dedup,d_sex_tpr_gap,-0.008986926991436838,0.017068778024818897,-0.02584627122916261,0.019633356268435986,5,,,hgb
V4_dedup,d_race_tpr_gap,-0.013586744639376206,0.016984631351131173,-0.045540935672514604,0.005482456140350922,15,-0.7999434523182236,0.005846247848825192,
V4_dedup,d_race_tpr_gap,-0.005540935672514569,0.011931831043281459,-0.025511695906432652,0.005482456140350922,5,,,logreg
V4_dedup,d_race_tpr_gap,-0.0030701754385964674,0.0022471383258683563,-0.005482456140350922,-0.0010964912280700956,5,,,rf
V4_dedup,d_race_tpr_gap,-0.03214912280701758,0.014573427654869306,-0.045540935672514604,-0.00877192982456143,5,,,hgb
V4_dedup,churn_vs_base,0.0108,0.006747486304437485,0.00425,0.02075,15,1.6005960609208467,,
V4_dedup,churn_vs_base,0.0051,0.0005755432216610666,0.00425,0.00575,5,,,logreg
V4_dedup,churn_vs_base,0.00745,0.0009253377761660875,0.006,0.0085,5,,,rf
