variant,model,seed,d_common_acc,d_common_auc,d_common_ece,d_sex_dp_diff,d_sex_tpr_gap,d_race_dp_diff,d_race_tpr_gap,d_own_acc,d_own_auc,d_own_ece,d_common_posrate_pred,churn_vs_base,abs_d_common_acc
V3_drop,hgb,1,0.0007500000000000284,0.0015122643381092482,0.0020914295865614267,7.0534297302027316e-06,-0.006757907501141136,-0.0005810575246949223,-0.02331871345029246,-0.005344843545394329,9.344407872691196e-05,-0.007784168469517068,-0.0007500000000000007,0.02225,0.0007500000000000284
V3_drop,hgb,2,-0.0020000000000000018,-0.0008103390957447942,-0.00016975301371109815,-0.011624052195380041,-0.04182817747682088,-0.015618263950066547,-0.06308479532163758,-0.0040324732835916866,-0.0023142400852054212,-0.003187833187601098,-0.0040000000000000036,0.024,0.0020000000000000018
V3_drop,hgb,3,0.004750000000000032,0.000774312853894954,0.000835585418280823,-0.0041826838300123015,-0.03063539317805586,-0.002180527700199275,-0.05460526315789471,-0.013408437836653242,-0.006752593967812914,0.0006797267704111605,0.004750000000000004,0.02475,0.004750000000000032
V3_drop,hgb,4,0.0007500000000000284,0.0005653606511666354,-0.0017674836107199523,0.0014882736730735535,-0.0005926793877008008,-0.003052113987241728,-0.06228070175438605,0.0048110055787466965,0.001654023459397358,-0.001484928843929755,0.0017500000000000016,0.02325,0.0007500000000000284
V3_impute,logreg,0,-0.00024999999999997247,-0.00047688690374059206,0.0019922580007742108,-0.0018268383001234512,0.012235082532307762,-0.00341293196628617,-0.013157894736842035,-0.0022299029992195463,-0.0014057416575800064,0.0016063813083132435,-0.005749999999999977,0.01225,0.00024999999999997247
V3_impute,logreg,1,-0.0012499999999999734,-0.00035423011753588085,0.005341896372906727,-0.005579262916593192,0.007302900041555649,-0.004865575778023545,-0.01754385964912275,0.00011149514996089405,-0.0006118675890883774,-0.0015367512333818835,-0.006749999999999978,0.01375,0.0012499999999999734
V3_impute,logreg,2,0.0007500000000000284,-0.0004329851578586119,0.0055859470512070585,-0.004083935813789491,0.007943266276542738,-0.003703460728633645,-0.010964912280701733,-0.0025643884491024505,-0.0020720263775918513,-0.0007476202071206185,-0.005749999999999977,0.01025,0.0007500000000000284
V3_impute,logreg,3,-0.0017499999999999183,-0.0003532247340425343,0.002460973950066246,-0.0029412801974960656,0.011594716297320673,0.0037799978757036834,0.004678362573099504,-0.0028988738989853546,-0.001650926768231753,0.00040525620967154716,-0.007249999999999979,0.01325,0.0017499999999999183
V3_impute,logreg,4,-0.002749999999999919,-0.000409526209677491,7.772249960900923e-05,-0.004436607300299766,0.013420441307709474,-0.006318219589760865,-0.02412280701754388,0.0008919611996878185,-0.001327572646869779,-0.004265820924306253,-0.00824999999999998,0.01425,0.002749999999999919
V3_impute,rf,0,-0.0020000000000000018,8.043067947827165e-05,-0.0013154125962011876,-0.002214776935284768,0.011002036909619872,-0.005229517722254495,-0.014254385964912242,0.0006689708997659194,-0.00041928570499627504,-0.00012365750951969304,-0.004500000000000004,0.0085,0.0020000000000000018
V3_impute,rf,1,0.0,-0.0004088559540150749,-0.0004675306657950448,-0.0018479985893140871,0.004884495643466047,-0.007046103478222862,-0.00877192982456143,-0.0005574757498049143,-0.0001591786641040871,7.443626546428661e-05,-0.003500000000000003,0.007,0.0
V3_impute,rf,2,-0.0002500000000000835,-0.000577760380919834,0.0012158888622026964,3.526714865101366e-05,-0.0031064574803632006,-0.006755574715875373,-0.030994152046783574,0.0003344854498829042,-0.0004716835838917133,0.0005832837609447312,-0.0037500000000000033,0.00725,0.0002500000000000835
V3_impute,rf,3,-0.0004999999999999449,0.0002687725205902103,0.0015359655980145479,-0.001100335037912209,-0.0018734118576752001,-0.006465045953527884,-0.006578947368421018,-0.0006689708997658084,-0.00021571772088735397,-0.0007023024082784511,-0.0030000000000000027,0.007,0.0004999999999999449
V3_impute,rf,4,0.0007500000000000284,-0.0002506756177076408,0.0005657729766512971,-0.003717157467818727,0.0036514500207778244,-0.004938988959907034,-0.007675438596491224,0.0010034563496488236,-0.00015401074789656022,-0.0017210527971638426,-0.004750000000000004,0.00625,0.0007500000000000284
V3_impute,hgb,0,-0.0012499999999999734,1.0053834933465566e-06,-0.0010212141715370913,0.000782930700052864,0.015934219400371985,-0.004067402672864595,-0.010964912280701733,-0.0012264466495707227,0.00013114870798669465,-0.0009996468990529197,-0.003250000000000003,0.01225,0.0012499999999999734
V3_impute,hgb,1,-0.0010000000000000009,0.0002464865198180677,0.0005934162726508596,-0.004119202962440477,-0.0006403662349871997,0.004504757798979103,0.018932748538011746,-0.0006689708997659194,-2.744813773625232e-05,-0.0016742049133394773,-0.0020000000000000018,0.013,0.0010000000000000009
V3_impute,hgb,2,-0.0030000000000000027,-0.00037618099047709297,0.0021126095444732665,-0.0010862281784517758,0.015293853165384785,-0.007046103478222848,-0.013157894736842146,-0.0012264466495707227,-0.001143204669332154,0.0010614575057999558,-0.004499999999999976,0.0125,0.0030000000000000027
V3_impute,hgb,3,0.0020000000000000018,0.0004209205559366769,-0.00031002942606747456,0.0007758772703227446,0.02579858438187621,-0.006174517191180395,-0.025511695906432652,-0.0012264466495707227,-0.0006188151850490264,0.00019657084481674268,-0.0025000000000000022,0.013,0.0020000000000000018
V3_impute,hgb,4,0.0017500000000000293,0.00026894008450584206,0.004851503601758742,0.00038793863516140004,0.007990953123829136,-0.0041408158547481255,-0.045540935672514715,0.0007804660497268134,-0.00029001935059480566,-0.00025546993582798057,-0.0012500000000000011,0.01075,0.0017500000000000293
V4_dedup,logreg,0,0.00024999999999997247,-0.00023961639927927436,-0.0015226657581969682,-0.004140363251631113,-0.01228276937959416,0.0005810575246948946,0.0010964912280702066,-0.003273390587420155,-0.001256718313668248,0.0009339139318061875,0.0002500000000000002,0.00575,0.00024999999999997247
V4_dedup,logreg,1,-0.0020000000000000018,-2.9826376973240976e-05,0.00010273516485173606,-0.001876212308234898,-0.006165228113440224,-0.0005810575246949501,-0.005482456140350811,0.002755522991892634,0.0018328212421885315,0.0016703794419487498,-0.0005000000000000004,0.0055,0.0020000000000000018
V4_dedup,logreg,2,0.0030000000000000027,0.00022386539121477256,-0.001987111302372009,0.002637982719097154,0.01292313561458125,0.0021071145183158,0.005482456140350922,0.0009648810187471435,0.0008958405178882689,0.0012354128448152264,-0.0005000000000000004,0.005,0.0030000000000000027
V4_dedup,logreg,3,-0.00024999999999997247,0.000259053813486676,-0.0005975491733615917,7.0534297302027316e-06,0.004291816255765024,-0.0038502870924006505,-0.025511695906432652,-0.0034932450862494857,-0.0026441376574304343,-0.003083375832580013,-0.0007500000000000007,0.00425,0.00024999999999997247
V4_dedup,logreg,4,-0.0010000000000000009,0.00014879675703494133,-0.0025222599264198026,0.0015094339622641617,0.009816678134217938,-0.0032692295677057004,-0.003289473684210509,0.0031946720250705107,0.0028325171556553563,-0.0014975374443498835,-0.0005000000000000004,0.005,0.0010000000000000009
V4_dedup,rf,0,-0.0017500000000000293,-0.000753702492278796,-0.000894794053744867,-0.0007547169811320531,-0.0036991368680641123,0.0035597583300531893,-0.002192982456140413,0.00030643745122094224,0.0006110905811769207,0.0022427839568884902,0.0002500000000000002,0.00725,0.0017500000000000293
V4_dedup,rf,1,-0.0010000000000000009,0.0002655888061943168,0.0036894667974759696,-0.0029906542056074847,-0.007398273736128225,-0.0020337013364323253,-0.005482456140350922,0.00031416496105629577,0.0004763115801462714,-0.0004364678966335897,-0.0020000000000000018,0.0085,0.0010000000000000009
V4_dedup,rf,2,-0.0007500000000000284,-0.0006700880984042978,-2.1671194812257488e-05,0.0003738317757009113,-0.014748860624970273,0.00029052876234747504,-0.0010964912280700956,-0.00013674332621882446,-0.0006333011392173349,-0.0009264972879850161,0.0002500000000000002,0.00775,0.0007500000000000284
V4_dedup,rf,3,-0.0010000000000000009,-0.0004951513705387933,0.0028189295373791737,0.0033856462704990598,0.004291816255764913,0.0029787008053582253,-0.0010964912280700956,-0.001807490682190993,-0.0023042892869158393,0.00016660895677192075,0.0,0.006,0.0010000000000000009
