case,variant,model,seed,n_train,n_owntest,pos_rate_train,fit_seconds,own_acc,own_auc,own_ece,common_acc,common_auc,common_ece,common_posrate_pred,sex_dp_diff,sex_tpr_gap,race_dp_diff,race_tpr_gap
acs,T85,rf,4,15135,3784,0.16663363065741657,4.62,0.8520084566596194,0.8832055037191372,0.06394600419341283,0.8423333333333334,0.8764976739296738,0.0617530090997179,0.02666666666666667,0.04519143247240869,0.15230901457803048,0.026295731707317072,0.12552301255230125
adult,V0,hgb,0,35873,8969,0.23850807013631423,89.2,0.8747909465938232,0.9277450362335953,0.005714911418260918,0.87175,0.9250910542317261,0.014479155806396601,0.20675,0.16470463763004764,0.05505105898863005,0.14131881314314632,0.0855994152046784
adult,V0,hgb,1,35873,8969,0.23850807013631423,86.62,0.8783587913925744,0.9271554830906467,0.014335891734581793,0.87025,0.9233919561277454,0.012698675933844286,0.21025,0.16429553870569566,0.05322533397824125,0.13557852711289384,0.042251461988304095
adult,V0,hgb,2,35873,8969,0.23850807013631423,69.42,0.8753484223436281,0.9303772510382036,0.008451009726270407,0.8715,0.9257267917274365,0.0142507941949714,0.2075,0.15905484041615237,0.056284104611318164,0.14008328491187294,0.06557017543859656
adult,V0,hgb,3,35873,8969,0.23850807013631423,26.89,0.8776898204928085,0.9318527424522755,0.014008245355639715,0.86875,0.9253031901488504,0.012584638262845371,0.20675,0.16921883265737964,0.08144232275820729,0.14516910023554697,0.10562865497076024
adult,V0,hgb,4,35873,8969,0.23850807013631423,65.81,0.8683242278960865,0.9275297634326463,0.009162884538964968,0.86875,0.9249191336543412,0.010938996259251222,0.20875,0.15979545053782399,0.045827060242112916,0.13383535453880901,0.08230994152046789
adult,V0,logreg,0,35873,8969,0.23850807013631423,0.72,0.8522689263017059,0.9056662265381739,0.008542408665771528,0.85175,0.9049962867836308,0.015633143007886298,0.20625,0.16169987656497972,0.0518015409664081,0.139866169331409,0.08618421052631575
adult,V0,logreg,1,35873,8969,0.23850807013631423,0.63,0.8543873341509645,0.9055944233050433,0.006229496290126785,0.852,0.9050050001072408,0.011863206709807539,0.208,0.16544524775171926,0.05673372345716021,0.13921169862483052,0.09057017543859647
adult,V0,logreg,2,35873,8969,0.23850807013631423,0.64,0.8494815475526815,0.9067529263753331,0.010990482897906953,0.85075,0.9050056703629032,0.013563538244893343,0.20625,0.16282842532181274,0.04933544972103199,0.14015669809375647,0.08399122807017545
adult,V0,logreg,3,35873,8969,0.23850807013631423,0.58,0.8556137808005352,0.909797753085862,0.01536018534302434,0.85225,0.9047221522177419,0.011374701101009459,0.20675,0.16357608887321462,0.0542676322117841,0.13180165320237672,0.0650584795321637
adult,V0,logreg,4,35873,8969,0.23850807013631423,0.64,0.8471401494035009,0.9044036806515271,0.013297534433305471,0.85425,0.9049835519260467,0.01589367605371694,0.20775,0.1639428672191853,0.048150090945630275,0.1416093419054938,0.09495614035087718
adult,V0,rf,0,35873,8969,0.23850807013631423,63.89,0.8606310625487791,0.9153932715784459,0.02276411394219643,0.85975,0.9145222953843515,0.03258204429940216,0.18875,0.15358843237524245,0.055405304139899525,0.12308891429713907,0.09086257309941526
adult,V0,rf,1,35873,8969,0.23850807013631423,79.69,0.8683242278960865,0.917615612445985,0.02649840701466683,0.861,0.9148426775909403,0.028101850283758646,0.1885,0.15321460059954153,0.06462930288641666,0.12875578714550806,0.11637426900584796
adult,V0,rf,2,35873,8969,0.23850807013631423,80.15,0.8638644218976474,0.9177749964577528,0.02435349996840118,0.8605,0.914942545684626,0.02897527642800501,0.1885,0.15321460059954153,0.0701541647648698,0.12337944305948655,0.09305555555555556
adult,V0,rf,3,35873,8969,0.23850807013631423,19.18,0.8672092763964767,0.9205079000668748,0.024913696448300243,0.861,0.9145469272799417,0.030008465930090815,0.191,0.15695291835655087,0.06403662349871586,0.11974627154754987,0.07412280701754381
adult,V0,rf,4,35873,8969,0.23850807013631423,45.08,0.8601850819489352,0.9152830341075623,0.026137618183064117,0.86125,0.9146281957789979,0.02803067988307369,0.19375,0.15880797037559513,0.06467698973370295,0.12889948954408853,0.1051169590643275
adult,V1_workforce,hgb,0,33609,8403,0.24820732541878662,51.57,0.8713554682851362,0.929648738865479,0.014506300267366927,0.869,0.9248395407944405,0.01566856574243478,0.208,0.16205960148122023,0.05135192212056594,0.13143771125814574,0.03786549707602338
adult,V1_workforce,hgb,1,33609,8403,0.24820732541878662,78.65,0.8727835296917767,0.9293250752698095,0.009050826782958902,0.87075,0.9248459082232326,0.012831221241494661,0.20875,0.16882384059248812,0.0642750577351473,0.13114718249579826,0.016739766081871332
adult,V1_workforce,hgb,2,33609,8403,0.24820732541878662,24.81,0.8681423301201951,0.9313545560526914,0.013605420851151063,0.87025,0.9240739412641557,0.009375375008751158,0.21025,0.16429553870569566,0.046467426477100116,0.14211698624830527,0.06447368421052635
